Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
Kpaala,,Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008,,,
Kpagalaye,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kpavélégbaou,,Binikala,GIN00800402,Macenta,GIN008004,Nzerekore,GIN008,public,,
Kpaya,,Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Kpoulo,,Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Labé Dheppèrè,,Garambe,GIN00600205,Labe,GIN006002,Labe,GIN006,public,,
Labha N'Dian,,Thionthian,GIN00500514,Telimele,GIN005005,Kindia,GIN005,public,,
Labo Bio Manquepas,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Labo Bio St Joseph,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Labo biomed Dr Yalani TOURE,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Labo Dr Balla DIALLO,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Labo Habas,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,prive,,
Labo SAB,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Labo Sobiom Dr ElH TOURE,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Lafou Centre de Santé,,Lafou,GIN00600305,Lelouma,GIN006003,Labe,GIN006,public,,
Lai Cui LING,,Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002,prive,,
Lainé,,Laine,GIN00800306,Lola,GIN008003,Nzerekore,GIN008,public,,
Lakhata,,Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001,public,,
Lalifan,,Daramagnaky,GIN00500502,Telimele,GIN005005,Kindia,GIN005,public,,
Lansanaya-Centre,,Lansanaya,GIN00300207,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Laréwel,,Lafou,GIN00600305,Lelouma,GIN006003,Labe,GIN006,public,,
Layah,,Moussayah,GIN00500309,Forecariah,GIN005003,Kindia,GIN005,public,,
Le Proviseur,,Kaliah,GIN00500307,Forecariah,GIN005003,Kindia,GIN005,public,,
Léapélèta,,Kokota,GIN00800305,Lola,GIN008003,Nzerekore,GIN008,public,,
Lébékéré,,Lebekeren,GIN00600407,Mali,GIN006004,Labe,GIN006,public,,
Léfouré,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Léla,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Leleda,,Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004,public,,
Lélouma Centre de Santé,,Lelouma Ctre,GIN00600306,Lelouma,GIN006003,Labe,GIN006,public,,
Lero,,Siguirini,GIN00400512,Siguiri,GIN004005,Kankan,GIN004,public,,
Ley Dioufoun,,Koin,GIN00600504,Tougue,GIN006005,Labe,GIN006,public,,
Ley Lagui,,Tianguel Bori,GIN00600311,Lelouma,GIN006003,Labe,GIN006,public,,
Ley Saré,,Timbo,GIN00700213,Mamou,GIN007002,Mamou,GIN007,public,,
Ley-Diohè,,Ley Miro,GIN00700305,Pita,GIN007003,Mamou,GIN007,public,,
Limbana,,Morodou,GIN00400409,Mandiana,GIN004004,Kankan,GIN004,public,,
Linko Centre de Santé,,Linko,GIN00400206,Kerouane,GIN004002,Kankan,GIN004,public,,
Linsan Centre de Santé,,Linsan Saran,GIN00600307,Lelouma,GIN006003,Labe,GIN006,public,,
Lisso Centre,,Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001,public,,
Loïlakoro,,Koundian,GIN00400406,Mandiana,GIN004004,Kankan,GIN004,public,,
Lomou,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Lonhondia,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Lonking,,Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001,public,,
Loo (Communautaire),,Koyamah,GIN00800407,Macenta,GIN008004,Nzerekore,GIN008,public,,
Loppè,,Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007,public,,
Loubakono Fouala,,Fouala,GIN00800105,Beyla,GIN008001,Nzerekore,GIN008,public,,
M'Balia - Kinieran Centre de Santé,,Kinieran,GIN00400405,Mandiana,GIN004004,Kankan,GIN004,public,,
M'Bendia,,Koba Tatema,GIN00100103,Boffa,GIN001001,Boke,GIN001,,,
M'Bouro,,Bodie,GIN00700101,Dalaba,GIN007001,Mamou,GIN007,public,,
Mabhè,,Tarihoye,GIN00500512,Telimele,GIN005005,Kindia,GIN005,public,,
Macenta Koura,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Macenta Transit Centre,,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Madina,,Baguinet,GIN00100501,Fria,GIN001005,Boke,GIN001,public,,
Madina 2,,Sarekali,GIN00500509,Telimele,GIN005005,Kindia,GIN005,public,,
Madina Légué,,Gongoret,GIN00700304,Pita,GIN007003,Mamou,GIN007,public,,
Madina Wora,,Madina Wora,GIN00600408,Mali,GIN006004,Labe,GIN006,public,,
Madina Woula border checkpoint,,Madina Oula,GIN00500406,Kindia,GIN005004,Kindia,GIN005,public,,
Madina- Fanta,,Bangouya,GIN00500401,Kindia,GIN005004,Kindia,GIN005,public,,
Mafara,,Mafara,GIN00700108,Dalaba,GIN007001,Mamou,GIN007,public,,
Maka-Férédou,,Soromaya,GIN00400208,Kerouane,GIN004002,Kankan,GIN004,public,,
Makpozou,,Koropara,GIN00800504,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Malapouya,,Malapouya,GIN00100207,Boke,GIN001002,Boke,GIN001,public,,
Maleah,,Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005,public,,
Maléah Centre de Santé,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Maledou,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Mali-Plateau,,Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006,public,,
Mallalcondo,,Thionthian,GIN00500514,Telimele,GIN005005,Kindia,GIN005,public,,
Mama Camara,,Damaro,GIN00400202,Kerouane,GIN004002,Kankan,GIN004,public,,
Mamiah Centre,,Tougnifily,GIN00100108,Boffa,GIN001001,Boke,GIN001,public,,
Mamouroudou Centre de Santé,,Mamouroudou,GIN00400108,Kankan,GIN004001,Kankan,GIN004,public,,
Mananko,,Foumbadou,GIN00800302,Lola,GIN008003,Nzerekore,GIN008,public,,
Manda Centre de Santé,,Manda,GIN00600308,Lelouma,GIN006003,Labe,GIN006,public,,
Mandiana,,Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004,public,,
Manéah,,Kakossa,GIN00500306,Forecariah,GIN005003,Kindia,GIN005,public,,
Manfran Centre de Santé,,Manfran,GIN00300410,Kissidougou,GIN003004,Faranah,GIN003,public,,
Mangaba,,Koundara Ctre,GIN00100403,Koundara,GIN001004,Boke,GIN001,public,,
Mango e.V. OP-Zentrum,,Bissikrima,GIN00300103,Dabola,GIN003001,Faranah,GIN003,public,,
Manianko,,Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004,public,,
Maniceliya,,Tokounou,GIN00400113,Kankan,GIN004001,Kankan,GIN004,public,,
Manké,,Kaback,GIN00500305,Forecariah,GIN005003,Kindia,GIN005,public,,
Mankiti,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Mankountan,,Mankountan,GIN00100106,Boffa,GIN001001,Boke,GIN001,public,,
Mansala,,Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004,public,,
Manta,,Bodie,GIN00700101,Dalaba,GIN007001,Mamou,GIN007,public,,
Maouba,,Wendou Mbour,GIN00100308,Gaoual,GIN001003,Boke,GIN001,public,,
Maramorea,,Koumban,GIN00400107,Kankan,GIN004001,Kankan,GIN004,public,,
Marella 1 Centre de Santé,,Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003,public,,
Massakondou,,Fermessadou,GIN00300405,Kissidougou,GIN003004,Faranah,GIN003,public,,
Matakan,,Kaback,GIN00500305,Forecariah,GIN005003,Kindia,GIN005,public,,
Maternité Dondian,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Maternité Nyaya,,Sandenia,GIN00300309,Faranah,GIN003003,Faranah,GIN003,public,,
Meliandou,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Mélikasa,,Bantignel,GIN00700301,Pita,GIN007003,Mamou,GIN007,public,,
Menienkouré,,Malanta,GIN00100306,Gaoual,GIN001003,Boke,GIN001,public,,
Mercy Ships - New Steps Centre,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Mignada,,Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004,public,,
Missamana Centre de Santé,,Missamana,GIN00400109,Kankan,GIN004001,Kankan,GIN004,public,,
Missidé,,Dougountouny,GIN00600403,Mali,GIN006004,Labe,GIN006,public,,
Missidé -Tiga,,Kaalan,GIN00600207,Labe,GIN006002,Labe,GIN006,public,,
Missidé Centre,,Kolente,GIN00500405,Kindia,GIN005004,Kindia,GIN005,public,,
Missidé Kébou,,Gougoudje,GIN00500503,Telimele,GIN005005,Kindia,GIN005,public,,
Mission Alfa,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,public,,
Mission Alpha,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Mission Alpha; Tanènè,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Mission Catholique Lola,,Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008,public,,
Mission Catholique Samoe,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Missira,,Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001,public,,
Missira,,Missira,GIN00500507,Telimele,GIN005005,Kindia,GIN005,public,,
Missira (Kankan-missira) Centre de Santé,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Missirah,,Sambailo,GIN00100404,Koundara,GIN001004,Boke,GIN001,public,,
Moata,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Mohame 6 (Kamsar) Centre de Santé,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Mohamed CAMARA,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Mohomou,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Mombèya,,Mombeyah,GIN00700110,Dalaba,GIN007001,Mamou,GIN007,public,,
Mongo,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Moola,,Farmoriah,GIN00500303,Forecariah,GIN005003,Kindia,GIN005,public,,
Moribadou,,Nionsomoridou,GIN00800111,Beyla,GIN008001,Nzerekore,GIN008,public,,
Moribaya 2 Centre de Santé,,Moribayah,GIN00400110,Kankan,GIN004001,Kankan,GIN004,public,,
Morigbèdou,,Foumbadou,GIN00800302,Lola,GIN008003,Nzerekore,GIN008,public,,
Morigbeya,,Mamouroudou,GIN00400108,Kankan,GIN004001,Kankan,GIN004,public,,
Morigbéya,,Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003,public,,
Morkania,,Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005,public,,
Morodou 1 Centre de Santé,,Morodou,GIN00400409,Mandiana,GIN004004,Kankan,GIN004,public,,
Moromi,,Koubia Ctre,GIN00600103,Koubia,GIN006001,Labe,GIN006,public,,
Mosquée (Koundara) Centre de Santé,,Koundara Ctre,GIN00100403,Koundara,GIN001004,Boke,GIN001,public,,
Moussa Chérif,,Gueasso,GIN00800304,Lola,GIN008003,Nzerekore,GIN008,public,,
Moussadou,,Kantoumanina,GIN00400404,Mandiana,GIN004004,Kankan,GIN004,public,,
Moussadou,,Moussadou,GIN00800110,Beyla,GIN008001,Nzerekore,GIN008,public,,
Moussaya,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Moussaya,,Koba Tatema,GIN00100103,Boffa,GIN001001,Boke,GIN001,,,
N'Dantari Centre,,Kolia,GIN00100104,Boffa,GIN001001,Boke,GIN001,public,,
N'Deleou,,Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008,public,,
N'Diaré,,Poredaka,GIN00700209,Mamou,GIN007002,Mamou,GIN007,public,,
N'Diouriah,,Kebali,GIN00700106,Dalaba,GIN007001,Mamou,GIN007,public,,
N'Diré,,Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007,public,,
N'Douyèbhè Salli,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
N'Krumah,,Sinko,GIN00800114,Beyla,GIN008001,Nzerekore,GIN008,public,,
N'Zao,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
N'Zappa (Communautaire),,Koyamah,GIN00800407,Macenta,GIN008004,Nzerekore,GIN008,public,,
N'Zebela,,Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003,public,,
N'Zoo,,Nzoo,GIN00800308,Lola,GIN008003,Nzerekore,GIN008,public,,
N'Zoyaro,,Sengbedou,GIN00800412,Macenta,GIN008004,Nzerekore,GIN008,public,,
Naboun Centre de Santé,,Naboun,GIN00400507,Siguiri,GIN004005,Kankan,GIN004,public,,
Nadhel,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Nafadji,,Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004,public,,
Nafaya,,Karala,GIN00800108,Beyla,GIN008001,Nzerekore,GIN008,public,,
Nanamoudoukoro Kalilou Cisse,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Nari,,Baguinet,GIN00100501,Fria,GIN001005,Boke,GIN001,public,,
Ndantari,,Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007,public,,
Ndantawi,,Dalein,GIN00600201,Labe,GIN006002,Labe,GIN006,public,,
Ndounsy,,Garambe,GIN00600205,Labe,GIN006002,Labe,GIN006,public,,
Neriboundji,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
Nètèmafara,,Siguirini,GIN00400512,Siguiri,GIN004005,Kankan,GIN004,public,,
Neuve,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Ngouahou,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Nhagnaka,,Tountourou,GIN00600213,Labe,GIN006002,Labe,GIN006,public,,
Nheloye,,Fafaya,GIN00600101,Koubia,GIN006001,Labe,GIN006,public,,
Niagara,,Nyagara,GIN00700207,Mamou,GIN007002,Mamou,GIN007,public,,
Niagassola Centre de Santé,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Niakaye,,Pilimini,GIN00600106,Koubia,GIN006001,Labe,GIN006,public,,
Nialia (Nialeaya) Centre de Santé,,Gnaleah,GIN00300304,Faranah,GIN003003,Faranah,GIN003,public,,
Niandan Centre,,Bofossou,GIN00800403,Macenta,GIN008004,Nzerekore,GIN008,public,,
Niandankoro Centre de Santé,,Niandankoro,GIN00400509,Siguiri,GIN004005,Kankan,GIN004,public,,
Nianfourando 2,,Banian,GIN00300301,Faranah,GIN003003,Faranah,GIN003,public,,
Nianguézazou,,Bofossou,GIN00800403,Macenta,GIN008004,Nzerekore,GIN008,public,,
Niani,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Niawély,,Fello Koundoua,GIN00600502,Tougue,GIN006005,Labe,GIN006,public,,
Niénouya Centre,,Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003,public,,
Niogo Centre,,Kalinko,GIN00300206,Dinguiraye,GIN003002,Faranah,GIN003,public,,
Nionsanoridou,,Nionsomoridou,GIN00800111,Beyla,GIN008001,Nzerekore,GIN008,public,,
Non Fonctionnel,,Telire,GIN00600411,Mali,GIN006004,Labe,GIN006,public,,
Nona,,Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Norassoba Centre de Santé,,Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004,public,,
Noumoudjila,,Saladou,GIN00400411,Mandiana,GIN004004,Kankan,GIN004,public,,
Nounkounkan Centre de Santé,,Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004,public,,
Noussy Centre de Santé,,Noussy,GIN00600210,Labe,GIN006002,Labe,GIN006,public,,
Nyankoye Thea,,Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Nyantanina Centre de Santé,,Niantanina,GIN00400410,Mandiana,GIN004004,Kankan,GIN004,public,,
Nzerekore Transit Centre,,Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
O.F.A.B,,Kamsar,GIN00100204,Boke,GIN001002,Boke,GIN001,public,,
ONG médical AFAD,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Ophtalmo Hadiatou SYLLA,,Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002,prive,,
Orialen,,Kantoumanina,GIN00400404,Mandiana,GIN004004,Kankan,GIN004,public,,
Oroko,,Banfele,GIN00400303,Kouroussa,GIN004003,Kankan,GIN004,public,,
Ouéta,,Pela,GIN00800606,Yomou,GIN008006,Nzerekore,GIN008,public,,
Ouétoa,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Ouéya,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Ouladin,,Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Oulako,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Ouré -Kaba,,Oure Kaba,GIN00700208,Mamou,GIN007002,Mamou,GIN007,public,,
Ourembaya,,Tinti Oulen,GIN00400112,Kankan,GIN004001,Kankan,GIN004,public,,
Ouro,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Ouyèyè,,Pale,GIN00800507,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Owet Djiba,,Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Owet Lela,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Ozaolazou,,Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004,public,,
Pale,,Pale,GIN00800507,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Pampara,,Koule,GIN00800505,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Paneau Scolaire Château D'Eau 65,,Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004,public,,
Paraol Centre,,Konah,GIN00600507,Tougue,GIN006005,Labe,GIN006,public,,
Parawol Centre de Santé,,Parawol,GIN00600309,Lelouma,GIN006003,Labe,GIN006,public,,
Passaya Centre de Santé,,Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003,public,,
Pejnétj,,Santou,GIN00500508,Telimele,GIN005005,Kindia,GIN005,public,,
Pellel Centre de Santé,,Labe Ctre,GIN00600209,Labe,GIN006002,Labe,GIN006,public,,
Pellel Hassana,,Sinta,GIN00500510,Telimele,GIN005005,Kindia,GIN005,public,,
Pétoun Bowè,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Pety,,Koumbia,GIN00100304,Gaoual,GIN001003,Boke,GIN001,public,,
Pharmacie Hamdallaye,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Pharmacie LePrince Fadiga,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Pilimini Centre de Santé,,Pilimini,GIN00600106,Koubia,GIN006001,Labe,GIN006,public,,
Pinè,,Gama Berema,GIN00800303,Lola,GIN008003,Nzerekore,GIN008,public,,
Point B,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Point D'Eau Kignegbena,,Linko,GIN00400206,Kerouane,GIN004002,Kankan,GIN004,public,,
Point Référencé,,Gbakedou,GIN00800106,Beyla,GIN008001,Nzerekore,GIN008,public,,
Polodou,,Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003,public,,
Polyclinic Fei-Tsoei,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,public,,
Polyclinique de Dixinn,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,prive,,
Polyclinique Maison,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Polyclinique Mamouna de Ratoma,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Popodara,,Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006,public,,
Porédaka,,Poredaka,GIN00700209,Mamou,GIN007002,Mamou,GIN007,public,,
Poste De Santé,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Poste De Santé,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Poste de Santé Badalla,,Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de Santé Bawa,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de santé Bentouraya,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Béréiré,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de Santé Boukoussou,,Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste De Santé Chinois,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,public,,
Poste de Santé Dandou Bendo,,Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de santé Deneya,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de Santé Foulaya,,Friguiagbe,GIN00500403,Kindia,GIN005004,Kindia,GIN005,public,,
Poste de santé Gbantama,,Khorira,GIN00500204,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de Santé Guelo,,Guendembou,GIN00800204,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste De Santé Hafia Ii,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Poste De Santé Hafia Mosquée,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
Poste de santé Kahel,,Tondon,GIN00500207,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de sante Kassonya,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Kendoumaya,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Kenendelory,,Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Khountoun,,Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Kiriya,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Km 36,,Maneah,GIN00500103,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de sante Kolakhoure,,Kouria,GIN00500102,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de Santé Kondembadou,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de santé Kondéya,,Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Konfonya,,Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Koubia,,Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Kounsouta,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de Santé Kouriah,,Kouria,GIN00500102,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Kouyéya,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Madina,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Mangata,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de sante Moriakhory,,Kouria,GIN00500102,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Négueyah,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Ninguéty,,Falessade,GIN00500203,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de Santé Nongolo,,Gueckedou Ctre,GIN00800203,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de Santé Owet Kama,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de santé Petty-Centre,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Simbarayah,,Tondon,GIN00500207,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Somayah,,Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Tafory Soso,,Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Tambayah,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Töbolon,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Toguiron,,Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005,public,,
Poste de santé Tonton,,Badi,GIN00500201,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de Santé Wassaya,,Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Poste de santé Yafraya,,Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santé Yorokoguéah,,Khorira,GIN00500204,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste de santéMaléah,,Badi,GIN00500201,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste Et Télécommunication,,Tougue Ctre,GIN00600510,Tougue,GIN006005,Labe,GIN006,public,,
Poste Medical (Referring Center?),,Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008,public,,
Poste Santé Baïlo-Bayah,,Dubreka Ctre,GIN00500202,Dubreka,GIN005002,Kindia,GIN005,public,,
Poste Santé Foulamory,,Foulamory,GIN00100301,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Kakony,,Kakony,GIN00100303,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Kithiar,,Foulamory,GIN00100301,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Koumandougou,,Koumandou,GIN00800109,Beyla,GIN008001,Nzerekore,GIN008,public,,
Poste Santé Koumbia,,Koumbia,GIN00100304,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Kounsitel,,Kounsitel,GIN00100305,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Malanta,,Malanta,GIN00100306,Gaoual,GIN001003,Boke,GIN001,public,,
Poste Santé Touba,,Touba,GIN00100307,Gaoual,GIN001003,Boke,GIN001,public,,
